OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,CONFIDENCE,FIRETYPE,ID,AREA_,PERIMETER,COMMENTS,SHAPE_Length,SHAPE_Area
1337,1132.1865360532,ID4573711472219840804,UNNAMED,1984,8,4,High,WF,0,4581796.01115,12170.27452, ,17447.308083289,9403895.0142784
1338,900.78737794288,ME4458006760419840501,UNNAMED,1984,5,1,High,WF,0,3645356.91224,13746.02326, ,19299.8044068003,7186259.7714445
1376,1692.53836356099,MI4442008339519840428,RIVER ROAD,1984,4,28,High,WF,0,6849459.23303,15437.29028, ,21623.14770797,13429083.7291553
1377,609.72130842489,MO3703109139719840425,UNNAMED,1984,4,25,High,WF,0,2467454.40782,10087.19341, ,12644.182749881,3878913.26030324
1378,1013.99432751255,MO3778009148819840522,UNNAMED,1984,5,22,High,UNK,0,4103489.14881,13294.78572, ,16881.9032835738,6580032.96276228
1379,1597.08778112368,MT4533610695819840826,KIRBY,1984,8,26,High,WF,0,6463184.45944,11703.62263, ,16644.8289931975,13079080.2783312
1380,3617.25027538047,MT4561710632319840918,LAKE CREEK,1984,9,18,High,WF,0,14638491.41047,19915.34039, ,28463.3348133604,29917219.2126118
1381,2666.59080345386,MT4571910583819840827,WHEATWELL,1984,8,27,High,WF,0,10791309.30952,21700.5917, ,31059.19978526,22134486.805541
1382,157777.554101054,MT4625810827219840825,HAWK CREEK,1984,8,25,Low,WF,0,638503060.23686,387747.41333, ,560524.223145933,1335286800.70326
1383,27161.5652286721,MT4680511189419840827,NORTH HILL,1984,8,27,High,WF,0,109918946.4442,84130.58462, ,122779.075544279,234513449.006142
1384,1054.92979317052,MT4804111389819840827,RED OWL,1984,8,27, ,WF,0,4269149.08849,13085.28339, ,19541.382927962,9543332.77579411
1385,13113.1093202788,MT4805011525819840815,HOUGHTON CREEK II,1984,8,15,Low,WF,0,53066866.6904,55591.03526, ,82950.6932527885,118669852.094392
1386,3254.47354794261,MT4842011369719840827,CRYSTAL CREEK,1984,8,27,High,WF,0,13170386.19125,28897.30615, ,43424.7948134706,29878633.4399388
1387,3679.7562463901,MT4880411345819840819,NAPI PEAK,1984,8,19,High,WF,0,14891444.08172,21642.36965, ,32853.0766008185,34298049.7318977
1388,598.77988304898,NJ3990507449119840420,UNNAMED,1984,4,20,High,RX,0,2423176.03358,8053.59254, ,10515.9508428867,4122823.78082393
1426,3489.6022833526,NV3696511626419840607,UNNAMED,1984,6,7,High,UNK,0,14121918.35287,46971.79563, ,58807.1575117768,22161795.14847
1427,6558.9160183011,NV3729611669919840623,UNNAMED,1984,6,23,High,UNK,0,26542989.42193,57904.8263, ,72751.6472682555,42017892.9808045
1428,16688.7865671489,NV3774511522219840531,SEAMEN 1,1984,5,31,High,WF,0,67537118.03606,98333.61233, ,124411.203241134,108195156.516752
1429,16989.6358923598,NV3881711969319840628,INDIAN,1984,6,28,High,WF,0,68754611.96866,52819.68238,northern perimeter from state of CA GIS records,67792.8784560168,113420018.438254
1430,4100.76413153191,NV3936411451419840703,MCCOY,1984,7,3,High,WF,0,16595202.4178,45316.4909, ,58655.8052401693,27797402.0078067
1431,10037.3886139606,NV3961311999619840628,MITCHELL CANYON,1984,6,28,High,WF,0,40619867.53005,49390.44961,"Used July 14, 1984 scene for perimeter",64101.1240884668,68531419.111863
1432,4413.368234686,NV3977411998919840706,PETERSON,1984,7,6,High,WF,0,17860266.24544,31833.34724, ,41409.3056092681,30272903.1603939
1433,16832.3142193292,NV3978111987619840714,FREDS MT 2,1984,7,14,Low,WF,0,68117953.79352,43119.31876,should have been an initial assessment but no suitable imagery,56144.2355591133,115482695.958186
1434,1788.47374851161,NV3984011956819840814,QUAIL,1984,8,14,High,WF,0,7237695.93263,15867.79083, ,20691.0292878242,12291087.5713279
1435,6289.39731417949,NV3984911989219840705,BFDELL 3,1984,7,5,High,WF,0,25452286.005,36972.4593, ,48200.821772559,43253267.2009806
1478,9034.5374406345,NV4027911982519840617,DRY VALLEY,1984,6,17,High,WF,0,36561473.12294,50109.52077, ,65685.1504873664,62888483.340048
1479,4427.14031538477,NV4043811646219840803,CRESENT,1984,8,3,Low,WF,0,17915999.87449,21616.02063, ,28384.9865843066,30961241.4624681
1480,2200.36240616524,NV4048011930319840625,EMPIRE,1984,6,25,High,WF,0,8904550.06716,17854.74273, ,23514.521187937,15407364.0900501
1481,3957.73700673977,NV4049111656919840626,FIRE CREEK,1984,6,26,High,WF,0,16016392.22267,21300.80635, ,28074.9430510234,27721528.5848501
1482,2069.28557191583,NV4068311976419840530,BUFFALO,1984,5,30,High,WF,0,8374100.97843,18205.7084, ,24006.9417645389,14576955.5895262
1483,4327.00544399602,NV4071511779419840718,JUPITER,1984,7,18,Low,WF,0,17510768.45749,42666.62216, ,56345.9474495434,30507951.4896758
1484,38483.1658220344,NV4099711695019840830,IZEN 1,1984,8,30,High,WF,0,155735835.08104,176271.17186,3 merged fires over older fires,233447.191060638,273653474.589798
1485,6184.10399317597,NV4118711743819840804,BOX SPRG,1984,8,4,Low,WF,0,25026179.08462,28020.31948, ,37253.4434408235,44228758.4987587
1486,3401.42259777248,NV4120511780619840823,SILVER,1984,8,23,Low,WF,0,13765067.85272,26242.78016, ,34954.8211969272,24340015.022495
1487,29209.4322055612,NV4147111720519840706,BULLHEAD,1984,7,6,High,WF,0,118206369.45029,121786.93561, ,162547.68234362,210793289.319744
1488,148.73064446257,NV4147111720519840706,BULLHEAD,1984,7,6,High,WF,0,601891.51861,4400.95784, ,5858.6803360282,1072552.80547744
1489,5318.03458942948,NV4152711874819840624,LENRD CRK,1984,6,24,High,WF,0,21521320.81868,22562.2751, ,30140.328509511,38430447.9179583
1542,6808.2057992184,NV4159311819619840711,COYOTE,1984,7,11,Low,WF,0,27551829.29721,31788.91066, ,42482.4920006107,49299807.170787
1543,1047.80372106387,OK3698209465619840221,RESIDENT,1984,2,21,High,WF,0,4240310.89998,12352.88437, ,15486.9451712497,6657358.73749701
1544,12107.228769907,OR4200211850519840705,SAND HILL,1984,7,5,High,WF,0,48996212.83026,51634.92555, ,69452.8153393831,88788476.4008625
1545,3042.36212518218,OR4223911978319840726,CALDERWOOD,1984,7,26,High,WF,0,12312001.78216,22636.39097, ,30527.7886029633,22477187.4987949
1546,1416.74603925741,OR4229711891819840628,UNNAMED,1984,6,28,High,WF,0,5733367.37788,12889.57066, ,17429.5172863365,10486178.5133449
1547,7945.46796422443,OR4258812018119840809,ABERT,1984,8,9,High,WF,0,32154165.64844,72183.67887, ,98008.0363650365,59354870.7488653
1548,6536.7990283926,OR4262411999319840809,COYOTE,1984,8,9,High,WF,0,26453485.14598,39627.24883, ,53866.7844476454,48843181.3922665
1549,5246.71918845962,OR4262411999319840809,COYOTE,1984,8,9,High,WF,0,21232717.6519,33991.78037, ,46237.1477712254,39273414.063141
1550,11303.4646065637,OR4267311984019840809,RABBIT 2,1984,8,9,High,WF,0,45743494.90769,56048.02035, ,76208.2799459358,84528689.3846709
1551,66.68211898394,OR4267311984019840809,RABBIT 2,1984,8,9,High,WF,0,269852.94123,3524.57191, ,4790.70690189215,499246.953436316
1552,18.88523438523,OR4267311984019840809,RABBIT 2,1984,8,9,High,WF,0,76425.82633,2052.13078, ,2795.50601987472,141365.128368789
1553,24001.1925633044,OR4267311984019840809,RABBIT 2,1984,8,9,High,WF,0,97129372.98539,98355.86331, ,133884.585773469,180283608.032538
1554,7118.27225129407,OR4276411926519840804,ROCK CRK,1984,8,4,High,WF,0,28806623.61605,28641.8007, ,39046.6219703458,53475147.2880015
